temperatura,timestamp,umiditate_aer,umiditate_sol
20.16667,2026-05-04T17:30:00,46.47778,6
20.12778,2026-05-04T18:00:00,46.56667,13
20.15556,2026-05-04T18:30:00,47.23889,24
20.3,2026-05-04T19:00:00,47.00556,6
20.42777,2026-05-04T19:30:00,46.22222,6
20.48333,2026-05-04T20:00:00,46.13889,5
20.43333,2026-05-04T20:30:00,45.97221,6
20.43333,2026-05-04T21:00:00,46.08333,34
20.4375,2026-05-04T21:30:00,46.8125,16
21.50556,2026-05-04T22:00:00,46.13889,16
23.67222,2026-05-04T22:30:00,39.84999,15
24.81667,2026-05-04T23:00:00,37.48333,16
33.3,2026-05-04T23:30:00,93.64707,16
30.06111,2026-05-05T00:00:00,91.17777,15
25.58889,2026-05-05T00:30:00,76.01667,19
24.2,2026-05-05T01:00:00,55.67778,16
23.74445,2026-05-05T01:30:00,46.36666,16
23.6,2026-05-05T02:00:00,42.44444,27
23.6,2026-05-05T02:30:00,40.62222,48
23.55,2026-05-05T03:00:00,40.47778,17
23.45333,2026-05-05T03:30:00,40.64,17
23.30555,2026-05-05T04:00:00,40.50555,17
23.21177,2026-05-05T04:30:00,40.75294,17
23.15556,2026-05-05T05:00:00,41.01667,17
23.11177,2026-05-05T05:30:00,40.89412,18
23.1353,2026-05-05T06:00:00,41.30589,17
23.11765,2026-05-05T06:30:00,41.12353,17
23.21764,2026-05-05T07:00:00,41.54118,16
23.32941,2026-05-05T07:30:00,40.63529,17
23.52353,2026-05-05T08:00:00,40.54118,18
